高 0 1 B 高 B-NAME
勇 0 1 E 勇 E-NAME
： 2 2 S ： O
男 3 3 S 男 O
， 4 4 S ， O
中 5 6 B 中 B-CONT
国 5 6 E 国 M-CONT
国 7 8 B 国 M-CONT
籍 7 8 E 籍 E-CONT
， 9 9 S ， O
无 10 11 B 无 O
境 10 11 E 境 O
外 12 13 B 外 O
居 12 13 E 居 O
留 14 15 B 留 O
权 14 15 E 权 O
， 16 16 S ， O
 
1 0 4 B 1 O
9 0 4 M 9 O
6 0 4 M 6 O
6 0 4 M 6 O
年 0 4 E 年 O
出 5 6 B 出 O
生 5 6 E 生 O
， 7 7 S ， O
汉 8 9 B 汉 B-RACE
族 8 9 E 族 E-RACE
， 10 10 S ， O
中 11 12 B 中 B-TITLE
共 11 12 E 共 M-TITLE
党 13 14 B 党 M-TITLE
员 13 14 E 员 E-TITLE
， 15 15 S ， O
本 16 17 B 本 B-EDU
科 16 17 E 科 M-EDU
学 18 19 B 学 M-EDU
历 18 19 E 历 E-EDU
， 20 20 S ， O
工 21 23 B 工 B-TITLE
程 21 23 M 程 M-TITLE
师 21 23 E 师 E-TITLE
、 24 24 S 、 O
美 25 26 B 美 B-ORG
国 25 26 E 国 M-ORG
项 27 28 B 项 M-ORG
目 27 28 E 目 M-ORG
管 29 30 B 管 M-ORG
理 29 30 E 理 M-ORG
协 31 32 B 协 M-ORG
会 31 32 E 会 E-ORG
注 33 34 B 注 B-TITLE
册 33 34 E 册 M-TITLE
会 35 36 B 会 M-TITLE
员 35 36 E 员 E-TITLE
（ 37 37 S （ O
P 38 40 B P B-TITLE
M 38 40 M M M-TITLE
I 38 40 E I M-TITLE
M 41 46 B M M-TITLE
e 41 46 M e M-TITLE
m 41 46 M m M-TITLE
b 41 46 M b M-TITLE
e 41 46 M e M-TITLE
r 41 46 E r E-TITLE
） 47 47 S ） O
、 48 48 S 、 O
注 49 50 B 注 B-TITLE
册 49 50 E 册 M-TITLE
项 51 52 B 项 M-TITLE
目 51 52 E 目 M-TITLE
管 53 54 B 管 M-TITLE
理 53 54 E 理 M-TITLE
专 55 56 B 专 M-TITLE
家 55 56 E 家 E-TITLE
（ 57 57 S （ O
P 58 60 B P B-TITLE
M 58 60 M M M-TITLE
P 58 60 E P E-TITLE
） 61 61 S ） O
、 62 62 S 、 O
项 63 64 B 项 B-TITLE
目 63 64 E 目 M-TITLE
经 65 66 B 经 M-TITLE
理 65 66 E 理 E-TITLE
。 67 67 S 。 O
 
2 0 4 B 2 O
0 0 4 M 0 O
0 0 4 M 0 O
7 0 4 M 7 O
年 0 4 E 年 O
1 5 7 B 1 O
0 5 7 M 0 O
月 5 7 E 月 O
至 8 9 B 至 O
今 8 9 E 今 O
任 10 11 B 任 O
人 10 11 E 人 B-ORG
和 12 12 S 和 M-ORG
投 13 14 B 投 M-ORG
资 13 14 E 资 E-ORG
董 15 16 B 董 B-TITLE
事 15 16 E 事 E-TITLE
； 17 17 S ； O
 
2 0 4 B 2 O
0 0 4 M 0 O
0 0 4 M 0 O
7 0 4 M 7 O
年 0 4 E 年 O
1 5 7 B 1 O
2 5 7 M 2 O
月 5 7 E 月 O
至 8 8 S 至 O
2 9 13 B 2 O
0 9 13 M 0 O
1 9 13 M 1 O
3 9 13 M 3 O
年 9 13 E 年 O
2 14 15 B 2 O
月 14 15 E 月 O
任 16 16 S 任 O
公 17 18 B 公 B-ORG
司 17 18 E 司 E-ORG
董 19 20 B 董 B-TITLE
事 19 20 E 事 E-TITLE
、 21 21 S 、 O
董 22 24 B 董 B-TITLE
事 22 24 M 事 M-TITLE
会 22 24 E 会 M-TITLE
秘 25 26 B 秘 M-TITLE
书 25 26 E 书 E-TITLE
、 27 27 S 、 O
综 28 29 B 综 B-TITLE
合 28 29 E 合 M-TITLE
管 30 32 B 管 M-TITLE
理 30 32 M 理 M-TITLE
部 30 32 E 部 M-TITLE
部 33 34 B 部 M-TITLE
长 33 34 E 长 E-TITLE
； 35 35 S ； O
 
2 0 4 B 2 O
0 0 4 M 0 O
1 0 4 M 1 O
3 0 4 M 3 O
年 0 4 E 年 O
2 5 6 B 2 O
月 5 6 E 月 O
至 7 8 B 至 O
今 7 8 E 今 O
任 9 9 S 任 O
山 10 11 B 山 B-ORG
东 10 11 E 东 M-ORG
三 12 13 B 三 M-ORG
维 12 13 E 维 M-ORG
石 14 15 B 石 M-ORG
化 14 15 E 化 M-ORG
工 16 17 B 工 M-ORG
程 16 17 E 程 M-ORG
股 18 19 B 股 M-ORG
份 18 19 E 份 M-ORG
有 20 21 B 有 M-ORG
限 20 21 E 限 M-ORG
公 22 23 B 公 M-ORG
司 22 23 E 司 E-ORG
董 24 25 B 董 B-TITLE
事 24 25 E 事 E-TITLE
、 26 26 S 、 O
董 27 29 B 董 B-TITLE
事 27 29 M 事 M-TITLE
会 27 29 E 会 M-TITLE
秘 30 31 B 秘 M-TITLE
书 30 31 E 书 E-TITLE
、 32 32 S 、 O
副 33 36 B 副 B-TITLE
总 33 36 M 总 M-TITLE
经 33 36 M 经 M-TITLE
理 33 36 E 理 E-TITLE
。 37 37 S 。 O
 
张 0 2 B 张 B-NAME
雁 0 2 M 雁 M-NAME
冰 0 2 E 冰 E-NAME
， 3 3 S ， O
男 4 4 S 男 O
， 5 5 S ， O
 
1 0 4 B 1 O
9 0 4 M 9 O
6 0 4 M 6 O
5 0 4 M 5 O
年 0 4 E 年 O
1 5 6 B 1 O
月 5 6 E 月 O
出 7 8 B 出 O
生 7 8 E 生 O
， 9 9 S ， O
中 10 11 B 中 B-CONT
国 10 11 E 国 M-CONT
国 12 13 B 国 M-CONT
籍 12 13 E 籍 E-CONT
， 14 14 S ， O
无 15 17 B 无 O
永 15 17 M 永 O
久 15 17 E 久 O
境 18 19 B 境 O
外 18 19 E 外 O
居 20 22 B 居 O
留 20 22 M 留 O
权 20 22 E 权 O
。 23 23 S 。 O
 
兰 0 1 B 兰 B-ORG
州 0 1 E 州 M-ORG
商 2 4 B 商 M-ORG
学 2 4 M 学 M-ORG
院 2 4 E 院 E-ORG
会 5 6 B 会 B-PRO
计 5 6 E 计 M-PRO
专 7 8 B 专 M-PRO
业 7 8 E 业 E-PRO
学 9 10 B 学 B-EDU
士 9 10 E 士 E-EDU
， 11 11 S ， O
中 12 13 B 中 B-ORG
国 12 13 E 国 M-ORG
社 14 16 B 社 M-ORG
科 14 16 M 科 M-ORG
院 14 16 E 院 M-ORG
研 17 20 B 研 M-ORG
究 17 20 M 究 M-ORG
生 17 20 M 生 M-ORG
