科 0 1 B 科 O
技 0 1 E 技 O
全 2 4 B 全 O
方 2 4 M 方 O
位 2 4 E 位 O
资 5 6 B 资 O
讯 5 6 E 讯 O
智 7 8 B 智 O
能 7 8 E 能 O
， 9 9 S ， O
快 10 11 B 快 O
捷 10 11 E 捷 O
的 12 12 S 的 O
汽 13 14 B 汽 O
车 13 14 E 车 O
生 15 16 B 生 O
活 15 16 E 活 O
需 17 18 B 需 O
要 17 18 E 要 O
有 19 21 B 有 O
三 19 21 M 三 O
屏 19 21 E 屏 O
一 22 24 B 一 O
云 22 24 M 云 O
爱 22 24 E 爱 O
你 25 25 S 你 O
 
对 0 0 S 对 O
， 1 1 S ， O
输 2 3 B 输 O
给 2 3 E 给 O
一 4 5 B 一 O
个 4 5 E 个 O
女 6 7 B 女 B-PER.NOM
人 6 7 E 人 E-PER.NOM
， 8 8 S ， O
的 9 9 S 的 O
成 10 11 B 成 O
绩 10 11 E 绩 O
。 12 12 S 。 O
失 13 14 B 失 O
望 13 14 E 望 O
 
今 0 3 B 今 O
天 0 3 M 天 O
下 0 3 M 下 O
午 0 3 E 午 O
起 4 5 B 起 O
来 4 5 E 来 O
看 6 7 B 看 O
到 6 7 E 到 O
外 8 9 B 外 O
面 8 9 E 面 O
的 10 10 S 的 O
太 11 12 B 太 O
阳 11 12 E 阳 O
。 13 13 S 。 O
。 14 14 S 。 O
。 15 15 S 。 O
。 16 16 S 。 O
我 17 17 S 我 O
第 18 19 B 第 O
一 18 19 E 一 O
反 20 21 B 反 O
应 20 21 E 应 O
竟 22 23 B 竟 O
然 22 23 E 然 O
是 24 24 S 是 O
强 25 26 B 强 O
烈 25 26 E 烈 O
的 27 27 S 的 O
想 28 28 S 想 O
回 29 30 B 回 O
家 29 30 E 家 O
泪 31 32 B 泪 O
想 31 32 E 想 O
我 33 34 B 我 O
们 33 34 E 们 O
一 35 36 B 一 O
起 35 36 E 起 O
在 37 37 S 在 O
嘉 38 39 B 嘉 B-LOC.NAM
鱼 38 39 E 鱼 E-LOC.NAM
个 40 40 S 个 O
时 41 42 B 时 O
候 41 42 E 候 O
了 43 43 S 了 O
。 44 44 S 。 O
。 45 45 S 。 O
。 46 46 S 。 O
。 47 47 S 。 O
有 48 48 S 有 O
好 49 52 B 好 O
多 49 52 M 多 O
好 49 52 M 好 O
多 49 52 E 多 O
的 53 54 B 的 O
话 53 54 E 话 O
想 55 55 S 想 O
对 56 56 S 对 O
你 57 57 S 你 O
说 58 58 S 说 O
李 59 60 B 李 B-PER.NAM
巾 59 60 E 巾 M-PER.NAM
凡 61 61 S 凡 E-PER.NAM
想 62 63 B 想 O
要 62 63 E 要 O
瘦 64 65 B 瘦 O
瘦 64 65 E 瘦 O
瘦 66 67 B 瘦 O
成 66 67 E 成 O
李 68 69 B 李 B-PER.NAM
帆 68 69 E 帆 E-PER.NAM
我 70 70 S 我 O
是 71 71 S 是 O
想 72 72 S 想 O
切 73 74 B 切 O
开 73 74 E 开 O
云 75 76 B 云 O
朵 75 76 E 朵 O
的 77 77 S 的 O
心 78 78 S 心 O
 
今 0 1 B 今 O
年 0 1 E 年 O
拜 2 3 B 拜 O
年 2 3 E 年 O
不 4 4 S 不 O
短 5 6 B 短 O
信 5 6 E 信 O
， 7 7 S ， O
就 8 8 S 就 O
在 9 9 S 在 O
微 10 12 B 微 O
博 10 12 M 博 O
拜 10 12 E 拜 O
大 13 14 B 大 O
年 13 14 E 年 O
寻 15 17 B 寻 O
龙 15 17 M 龙 O
记 15 17 E 记 O
 
浑 0 1 B 浑 O
身 0 1 E 身 O
酸 2 3 B 酸 O
疼 2 3 E 疼 O
， 4 4 S ， O
两 5 6 B 两 O
腿 5 6 E 腿 O
无 7 8 B 无 O
力 7 8 E 力 O
， 9 9 S ， O
眼 10 11 B 眼 O
神 10 11 E 神 O
呆 12 13 B 呆 O
滞 12 13 E 滞 O
， 14 14 S ， O
怎 15 16 B 怎 O
么 15 16 E 么 O
了 17 17 S 了 O
 
明 0 1 B 明 O
显 0 1 E 显 O
紧 2 5 B 紧 O
张 2 5 M 张 O
状 2 5 M 状 O
态 2 5 E 态 O
没 6 6 S 没 O
出 7 8 B 出 O
来 7 8 E 来 O
， 9 9 S ， O
失 10 11 B 失 O
误 10 11 E 误 O
多 12 12 S 多 O
。 13 13 S 。 O
 
三 0 2 B 三 O
十 0 2 M 十 O
年 0 2 E 年 O
前 3 3 S 前 O
， 4 4 S ， O
老 5 6 B 老 B-PER.NOM
爹 5 6 E 爹 E-PER.NOM
带 7 7 S 带 O
我 8 8 S 我 O
来 9 9 S 来 O
这 10 11 B 这 O
里 10 11 E 里 O
开 12 13 B 开 O
会 12 13 E 会 O
， 14 14 S ， O
今 15 16 B 今 O
天 15 16 E 天 O
打 17 19 B 打 O
了 17 19 M 了 O
个 17 19 E 个 O
颠 20 21 B 颠 O
倒 20 21 E 倒 O
。 22 22 S 。 O
我 23 23 S 我 O
在 24 24 S 在 O
这 25 26 B 这 O
里 25 26 E 里 O
 
好 0 0 S 好 O
活 1 2 B 活 O
动 1 2 E 动 O
呀 3 3 S 呀 O
， 4 4 S ， O
给 5 6 B 给 O
力 5 6 E 力 O
的 7 7 S 的 O
商 8 9 B 商 O
家 8 9 E 家 O
， 10 10 S ， O
必 11 12 B 必 O
须 11 12 E 须 O
支 13 14 B 支 O
持 13 14 E 持 O
， 15 15 S ， O
希 16 17 B 希 O
望 16 17 E 望 O
以 18 19 B 以 O
后 18 19 E 后 O
多 20 21 B 多 O
多 20 21 E 多 O
办 22 22 S 办 O
活 23 24 B 活 O
动 23 24 E 动 O
跟 25 25 S 跟 O
我 26 27 B 我 O
们 26 27 E 们 O
互 28 29 B 互 O
动 28 29 E 动 O
哈 30 32 B 哈 O
巧 30 32 M 巧 O
慧 30 32 E 慧 O
铣 33 33 S 铣 O
 
人 0 1 B 人 O
生 0 1 E 生 O
如 2 3 B 如 O
戏 2 3 E 戏 O
， 4 4 S ， O
导 5 6 B 导 B-PER.NOM
演 5 6 E 演 E-PER.NOM
是 7 7 S 是 O
自 8 9 B 自 O
己 8 9 E 己 O
蜡 10 11 B 蜡 O
烛 10 11 E 烛 O
 
听 0 1 B 听 O
说 0 1 E 说 O
小 2 3 B 小 O
米 2 3 E 米 O
开 4 5 B 开 O
卖 4 5 E 卖 O
了 6 6 S 了 O
， 7 7 S ， O
刚 8 9 B 刚 O
刚 8 9 E 刚 O
预 10 11 B 预 O
约 10 11 E 约 O
了 12 12 S 了 O
台 13 13 S 台 O
。 14 14 S 。 O
我 15 15 S 我 O
爱 16 16 S 爱 O
小 17 18 B 小 O
米 17 18 E 米 O
手 19 20 B 手 O
机 19 20 E 机 O
因 21 22 B 因 O
为 21 22 E 为 O
他 23 23 S 他 O
是 24 24 S 是 O
迄 25 28 B 迄 O
今 25 28 M 今 O
为 25 28 M 为 O
止 25 28 E 止 O
最 29 30 B 最 O
快 29 30 E 快 O
的 31 31 S 的 O
小 32 33 B 小 O
米 32 33 E 米 O
手 34 35 B 手 O
机 34 35 E 机 O
月 36 36 S 月 O
日 37 37 S 日 O
中 38 39 B 中 O
午 38 39 E 午 O
点 40 40 S 点 O
， 41 41 S ， O
希 42 43 B 希 O
望 42 43 E 望 O
能 44 44 S 能 O
顺 45 46 B 顺 O
利 45 46 E 利 O
抢 47 48 B 抢 O
到 47 48 E 到 O
台 49 49 S 台 O
小 50 51 B 小 O
米 50 51 E 米 O
手 52 53 B 手 O
机 52 53 E 机 O
分 54 55 B 分 O
享 54 55 E 享 O
预 56 57 B 预 O
约 56 57 E 约 O
地 58 59 B 地 O
址 58 59 E 址 O
： 60 60 S ： O
 
最 0 0 S 最 O
热 1 1 S 热 O
时 2 3 B 时 O
尚 2 3 E 尚 O
榜 4 4 S 榜 O
女 5 6 B 女 B-PER.NOM
人 5 6 E 人 E-PER.NOM
不 7 7 S 不 O
坏 8 8 S 坏 O
， 9 9 S ， O
男 10 11 B 男 B-PER.NOM
人 10 11 E 人 E-PER.NOM
不 12 13 B 不 O
爱 12 13 E 爱 O
， 14 14 S ， O
一 15 16 B 一 O
个 15 16 E 个 O
男 17 18 B 男 S-PER.NOM
女 17 18 E 女 S-PER.NOM
必 19 20 B 必 O
看 19 20 E 看 O
的 21 21 S 的 O
微 22 23 B 微 O
博 22 23 E 博 O
花 24 25 B 花 O
心 24 25 E 心 O
 
我 0 0 S 我 O
参 1 2 B 参 O
与 1 2 E 与 O
了 3 3 S 了 O
南 4 4 S 南 B-GPE.NAM
都 5 5 S 都 E-GPE.NAM
深 6 7 B 深 B-GPE.NAM
圳 6 7 E 圳 E-GPE.NAM
读 8 9 B 读 O
本 8 9 E 本 O
发 10 11 B 发 O
起 10 11 E 起 O
的 12 12 S 的 O
投 13 14 B 投 O
票 13 14 E 票 O
涨 15 16 B 涨 O
薪 15 16 E 薪 O
最 17 18 B 最 O
慢 17 18 E 慢 O
十 19 20 B 十 O
大 19 20 E 大 O
行 21 22 B 行 O
业 21 22 E 业 O
， 23 23 S ， O
有 24 24 S 有 O
你 25 25 S 你 O
吗 26 26 S 吗 O
？ 27 27 S ？ O
， 28 28 S ， O
我 29 29 S 我 O
投 30 31 B 投 O
给 30 31 E 给 O
了 32 32 S 了 O
不 33 33 S 不 O
上 34 35 B 上 O
榜 34 35 E 榜 O
同 36 37 B 同 O
样 36 37 E 样 O
杯 38 39 B 杯 O
具 38 39 E 具 O
这 40 41 B 这 O
个 40 41 E 个 O
选 42 43 B 选 O
项 42 43 E 项 O
。 44 44 S 。 O
你 45 45 S 你 O
也 46 46 S 也 O
快 47 47 S 快 O
来 48 48 S 来 O
表 49 50 B 表 O
态 49 50 E 态 O
吧 51 51 S 吧 O
： 52 52 S ： O
 
好 0 0 S 好 O
嗯 1 1 S 嗯 O
， 2 2 S ， O
能 3 3 S 能 O
赢 4 5 B 赢 O
取 4 5 E 取 O
耶 6 6 S 耶 O
， 7 7 S ， O
赞 8 9 B 赞 O
耶 8 9 E 耶 O
建 10 11 B 建 O
设 10 11 E 设 O
完 12 13 B 完 O
后 12 13 E 后 O
， 14 14 S ， O
俺 15 15 S 俺 O
肯 16 17 B 肯 O
定 16 17 E 定 O
要 18 18 S 要 O
第 19 21 B 第 O
一 19 21 M 一 O
个 19 21 E 个 O
去 22 22 S 去 O
游 23 24 B 游 O
玩 23 24 E 玩 O
墨 25 26 B 墨 O
水 25 26 E 水 O
冬 27 28 B 冬 O
冬 27 28 E 冬 O
好 29 29 S 好 O
嗯 30 30 S 嗯 O
， 31 31 S ， O
能 32 32 S 能 O
赢 33 34 B 赢 O
取 33 34 E 取 O
耶 35 35 S 耶 O
， 36 36 S ， O
赞 37 38 B 赞 O
耶 37 38 E 耶 O
建 39 40 B 建 O
设 39 40 E 设 O
完 41 42 B 完 O
后 41 42 E 后 O
， 43 43 S ， O
俺 44 44 S 俺 O
肯 45 46 B 肯 O
定 45 46 E 定 O
要 47 47 S 要 O
第 48 50 B 第 O
一 48 50 M 一 O
个 48 50 E 个 O
去 51 51 S 去 O
游 52 53 B 游 O
玩 52 53 E 玩 O
 
易 0 1 B 易 O
经 0 1 E 经 O
中 2 2 S 中 O
的 3 3 S 的 O
个 4 4 S 个 O
智 5 6 B 智 O
慧 5 6 E 慧 O
第 7 10 B 第 O
六 7 10 M 六 O
十 7 10 M 十 O
二 7 10 E 二 O
感 11 12 B 感 O
悟 11 12 E 悟 O
： 13 13 S ： O
小 14 15 B 小 O
过 14 15 E 过 O
无 16 17 B 无 O
错 16 17 E 错 O
大 18 19 B 大 O
过 18 19 E 过 O
难 20 21 B 难 O
容 20 21 E 容 O
正 22 25 B 正 O
确 22 25 M 确 O
对 22 25 M 对 O
待 22 25 E 待 O
过 26 27 B 过 O
失 26 27 E 失 O
人 28 31 B 人 O
非 28 31 M 非 O
圣 28 31 M 圣 O
贤 28 31 E 贤 O
， 32 32 S ， O
孰 33 36 B 孰 O
能 33 36 M 能 O
无 33 36 M 无 O
过 33 36 E 过 O
？ 37 37 S ？ O
在 38 38 S 在 O
我 39 40 B 我 O
们 39 40 E 们 O
的 41 41 S 的 O
工 42 43 B 工 O
作 42 43 E 作 O
、 44 44 S 、 O
生 45 46 B 生 O
活 45 46 E 活 O
中 47 47 S 中 O
， 48 48 S ， O
过 49 50 B 过 O
失 49 50 E 失 O
是 51 51 S 是 O
很 52 52 S 很 O
难 53 53 S 难 O
避 54 55 B 避 O
免 54 55 E 免 O
的 56 56 S 的 O
事 57 57 S 事 O
， 58 58 S ， O
关 59 60 B 关 O
键 59 60 E 键 O
要 61 61 S 要 O
学 62 63 B 学 O
会 62 63 E 会 O
正 64 67 B 正 O
确 64 67 M 确 O
对 64 67 M 对 O
待 64 67 E 待 O
过 68 69 B 过 O
失 68 69 E 失 O
， 70 70 S ， O
开 71 74 B 开 O
动 71 74 M 动 O
脑 71 74 M 脑 O
筋 71 74 E 筋 O
思 75 76 B 思 O
考 75 76 E 考 O
过 77 78 B 过 O
失 77 78 E 失 O
， 79 79 S ， O
从 80 80 S 从 O
过 81 82 B 过 O
失 81 82 E 失 O
中 83 83 S 中 O
得 84 85 B 得 O
到 84 85 E 到 O
启 86 87 B 启 O
迪 86 87 E 迪 O
。 88 88 S 。 O
 
一 0 1 B 一 O
切 0 1 E 切 O
